

=== Predictions on test data ===

 inst#     actual  predicted error prediction
   274      1:yes       2:no   +   0.924 
   275      1:yes       2:no   +   0.924 
   276      1:yes       2:no   +   0.925 
   277      1:yes       2:no   +   0.925 
   278      1:yes       2:no   +   0.924 
   279      1:yes       2:no   +   0.925 
   280      1:yes       2:no   +   0.925 
   281       2:no       2:no       0.925 
   282       2:no       2:no       0.924 
   283       2:no       2:no       0.925 
   284       2:no       2:no       0.924 
   285       2:no       2:no       0.924 
   286       2:no       2:no       0.924 
   287       2:no       2:no       0.924 
   288       2:no       2:no       0.924 
   289       2:no       2:no       0.924 
   290       2:no       2:no       0.924 
   291       2:no       2:no       0.924 
   292       2:no       2:no       0.924 
   293       2:no       2:no       0.924 
   294       2:no       2:no       0.924 
   295       2:no       2:no       0.924 
   296       2:no       2:no       0.924 
   297       2:no       2:no       0.924 
   298       2:no       2:no       0.924 
   299       2:no       2:no       0.924 
   300       2:no       2:no       0.924 
   301       2:no       2:no       0.924 
   302       2:no       2:no       0.924 
   303       2:no       2:no       0.924 
   304       2:no       2:no       0.924 
   305       2:no       2:no       0.924 
   306       2:no       2:no       0.925 
   307       2:no       2:no       0.925 
   308       2:no       2:no       0.925 
   309       2:no       2:no       0.925 
   310       2:no       2:no       0.925 
   311       2:no       2:no       0.925 
   312       2:no       2:no       0.925 
   313       2:no       2:no       0.925 
   314       2:no       2:no       0.925 
   315       2:no       2:no       0.925 
   316       2:no       2:no       0.925 
   317       2:no       2:no       0.925 
   318       2:no       2:no       0.925 
   319       2:no       2:no       0.925 
   320       2:no       2:no       0.925 
   321       2:no       2:no       0.925 
   322       2:no       2:no       0.925 
   323       2:no       2:no       0.924 
   324       2:no       2:no       0.925 
   325       2:no       2:no       0.925 
   326       2:no       2:no       0.925 
   327       2:no       2:no       0.925 
   328       2:no       2:no       0.925 
   329       2:no       2:no       0.924 
   330       2:no       2:no       0.924 
   331       2:no       2:no       0.924 
   332       2:no       2:no       0.924 
   333       2:no       2:no       0.924 
   334       2:no       2:no       0.925 
   335       2:no       2:no       0.925 
   336       2:no       2:no       0.925 
   337       2:no       2:no       0.925 
   338       2:no       2:no       0.925 
   339       2:no       2:no       0.925 
   340       2:no       2:no       0.925 
   341       2:no       2:no       0.925 
   342       2:no       2:no       0.925 
   343       2:no       2:no       0.925 
   344       2:no       2:no       0.925 
   345       2:no       2:no       0.925 
   346       2:no       2:no       0.925 
   347       2:no       2:no       0.925 
   348       2:no       2:no       0.925 

